name,uni,row_in_master,verdict,old_openalex_id,correct_openalex_id,verified_topics,notes
Davide Guzzetti,Auburn University,13,BORDERLINE_OR_VERIFIED_CURRENT,A5067499279,A5067499279,Space Satellite Systems and Control | Spacecraft Dynamics and Control | Astro and Planetary Science,Current ID is the best available
Jifu Tan,Binghamton University,17,GENUINE_NON_AERO_FACULTY,A5091228489,A5091228489,Lattice Boltzmann Simulation Studies | Blood properties and coagulation | Nanoparticle-Based Drug Delivery,Faculty is in ME department but does pure Biomedical/Robotics/Materials research
Douglas P. Holmes,Boston University,21,GENUINE_NON_AERO_FACULTY,A5032824164,A5032824164,Advanced Materials and Mechanics | Structural Analysis and Optimization | Advanced Sensor and Energy Harvesting Materials,Faculty is in ME department but does pure Biomedical/Robotics/Materials research
Raymond Nagem,Boston University,22,GENUINE_NON_AERO_FACULTY,A5020228355,A5020228355,Acoustic Wave Phenomena Research | Underwater Acoustics Research | Structural Health Monitoring Techniques,Faculty is in ME department but does pure Biomedical/Robotics/Materials research
Sean B. Andersson,Boston University,23,GENUINE_NON_AERO_FACULTY,A5081816980,A5081816980,Advanced Fluorescence Microscopy Techniques | Force Microscopy Techniques and Applications | Distributed Control Multi-Agent Systems,Faculty is in ME department but does pure Biomedical/Robotics/Materials research
Amir Barati Farimani,Carnegie Mellon University,38,GENUINE_NON_AERO_FACULTY,A5008745801,A5008745801,Machine Learning in Materials Science | Model Reduction and Neural Networks | Computational Drug Discovery Methods,Faculty is in ME department but does pure Biomedical/Robotics/Materials research
Carmel Majidi,Carnegie Mellon University,42,GENUINE_NON_AERO_FACULTY,A5050506400,A5050506400,Advanced Sensor and Energy Harvesting Materials | Advanced Materials and Mechanics | Soft Robotics and Applications,Faculty is in ME department but does pure Biomedical/Robotics/Materials research
Gerald J. Wang,Carnegie Mellon University,40,GENUINE_NON_AERO_FACULTY,A5089348063,A5089348063,Bladder and Urothelial Cancer Treatments | Nanopore and Nanochannel Transport Studies | Urological Disorders and Treatments,Faculty is in ME department but does pure Biomedical/Robotics/Materials research
Philip LeDuc,Carnegie Mellon University,41,GENUINE_NON_AERO_FACULTY,A5059723823,A5059723823,Pregnancy and preeclampsia studies | Neonatal and fetal brain pathology | Maternal and fetal healthcare,Faculty is in ME department but does pure Biomedical/Robotics/Materials research
Ethan Kung,Clemson University,45,GENUINE_NON_AERO_FACULTY,A5083766821,A5083766821,Mechanical Circulatory Support Devices | Congenital Heart Disease Studies | Cardiovascular Function and Risk Factors,Faculty is in ME department but does pure Biomedical/Robotics/Materials research
Zhen Li,Clemson University,46,GENUINE_NON_AERO_FACULTY,A5100332581,A5100332581,Climate variability and models | Meteorological Phenomena and Simulations | Atmospheric and Environmental Gas Dynamics,Faculty is in ME department but does pure Biomedical/Robotics/Materials research
Azer Yalin,Colorado State University,58,NAMESAKE_MISMATCH_FOUND_AND_CORRECTED,A5002311146,A5122796115,Plasma Applications and Diagnostics | Plasma Diagnostics and Applications | Combustion and flame dynamics,Replaced with true Aero/Fluids profile (HIGH)
