university,name,author_id,works_count,cited_by_count,h_index,primary_topic,top_topics
University of California-Los Angeles,Stanley Osher,A5002037883,761,119148,122,Computational Fluid Dynamics and Aerodynamics,Computational Fluid Dynamics and Aerodynamics | Sparse and Compressive Sensing Techniques | Image and Signal Denoising Methods
Carnegie Mellon University,Kang Xu,A5100440745,1911,111688,150,Advanced Battery Materials and Technologies,Advanced Battery Materials and Technologies | Advancements in Battery Materials | Advanced Battery Technologies Research
Ohio State University,Kang Xu,A5100440745,1911,111688,150,Advanced Battery Materials and Technologies,Advanced Battery Materials and Technologies | Advancements in Battery Materials | Advanced Battery Technologies Research
The University of Texas at Austin,Thomas J.R. Hughes,A5031451887,739,105864,150,Advanced Numerical Methods in Computational Mathematics,Advanced Numerical Methods in Computational Mathematics | Advanced Numerical Analysis Techniques | Numerical methods in engineering
Northwestern University,Ted Belytschko,A5036500320,646,88879,141,Numerical methods in engineering,Numerical methods in engineering | Advanced Numerical Methods in Computational Mathematics | Fatigue and fracture mechanics
Princeton University,Howard A. Stone,A5083316408,1597,82423,133,Fluid Dynamics and Heat Transfer,Fluid Dynamics and Heat Transfer | Surface Modification and Superhydrophobicity | Particle physics theoretical and experimental studies
Brown University,Chi‐Wang Shu,A5047035333,758,76570,111,Computational Fluid Dynamics and Aerodynamics,Computational Fluid Dynamics and Aerodynamics | Advanced Numerical Methods in Computational Mathematics | Fluid Dynamics and Turbulent Flows
University of Toledo,Yuan Hu,A5010868339,1477,71056,131,Flame retardant materials and properties,Flame retardant materials and properties | Polymer Nanocomposites and Properties | Synthesis and properties of polymers
University of Utah,Yuan Hu,A5010868339,1477,71056,131,Flame retardant materials and properties,Flame retardant materials and properties | Polymer Nanocomposites and Properties | Synthesis and properties of polymers
University of Minnesota-Twin Cities,Frank S. Bates,A5069824583,846,65405,123,Block Copolymer Self-Assembly,Block Copolymer Self-Assembly | Advanced Polymer Synthesis and Characterization | Polymer crystallization and properties
University of California-San Diego,Marc A. Meyers,A5056618699,668,57227,113,High-Velocity Impact and Material Behavior,High-Velocity Impact and Material Behavior | Microstructure and mechanical properties | High-pressure geophysics and materials
University of California-Berkeley,Glenn H. Fredrickson,A5067839341,640,50508,92,Block Copolymer Self-Assembly,Block Copolymer Self-Assembly | Advanced Polymer Synthesis and Characterization | Material Dynamics and Properties
