Faculty Name,University,Department,OpenAlex ID,Reason,Top Topics,Sample Landmark Paper
Davide Guzzetti,Auburn University,Department of Aerospace Engineering,A5067499279,ZERO_AERO_OR_FLUIDS_MATCH,Space Satellite Systems and Control | Spacecraft Dynamics and Control | Astro and Planetary Science,Path planning for asteroid hopping rovers with pre-trained deep reinforcement learning architectures
Jifu Tan,Binghamton University,Department of Mechanical Engineering,A5091228489,ZERO_AERO_OR_FLUIDS_MATCH,Lattice Boltzmann Simulation Studies | Blood properties and coagulation | Nanoparticle-Based Drug Delivery,The Shape of Things to Come: Importance of Design in Nanotechnology for Drug Delivery
Douglas P. Holmes,Boston University,Department of Mechanical Engineering,A5032824164,ZERO_AERO_OR_FLUIDS_MATCH,Advanced Materials and Mechanics | Structural Analysis and Optimization | Advanced Sensor and Energy Harvesting Materials,Snapping Surfaces
Raymond Nagem,Boston University,Department of Mechanical Engineering,A5020228355,ZERO_AERO_OR_FLUIDS_MATCH,Acoustic Wave Phenomena Research | Underwater Acoustics Research | Structural Health Monitoring Techniques,Dynamic Analysis of Large Space Structures Using Transfer Matrices and Joint Coupling Matrices
Sean B. Andersson,Boston University,Department of Mechanical Engineering,A5081816980,ZERO_AERO_OR_FLUIDS_MATCH,Advanced Fluorescence Microscopy Techniques | Force Microscopy Techniques and Applications | Distributed Control Multi-Agent Systems,"A Tutorial on the Mechanisms, Dynamics, and Control of Atomic Force Microscopes"
Amir Barati Farimani,Carnegie Mellon University,Department of Mechanical Engineering,A5008745801,ZERO_AERO_OR_FLUIDS_MATCH,Machine Learning in Materials Science | Model Reduction and Neural Networks | Computational Drug Discovery Methods,Molecular contrastive learning of representations via graph neural networks
Carmel Majidi,Carnegie Mellon University,Department of Mechanical Engineering,A5050506400,ZERO_AERO_OR_FLUIDS_MATCH,Advanced Sensor and Energy Harvesting Materials | Advanced Materials and Mechanics | Soft Robotics and Applications,Soft Robotics: A Perspective—Current Trends and Prospects for the Future
Gerald J. Wang,Carnegie Mellon University,Department of Mechanical Engineering / Department of Civil and Environmental Engineering,A5089348063,ZERO_AERO_OR_FLUIDS_MATCH,Bladder and Urothelial Cancer Treatments | Nanopore and Nanochannel Transport Studies | Urological Disorders and Treatments,A Comparison of Postoperative Complications in Open versus Robotic Cystectomy
Philip LeDuc,Carnegie Mellon University,Department of Mechanical Engineering,A5059723823,ZERO_AERO_OR_FLUIDS_MATCH,3D Printing in Biomedical Research | Cellular Mechanics and Interactions | Microfluidic and Bio-sensing Technologies,Subcellular positioning of small molecules
Ethan Kung,Clemson University,Department of Mechanical Engineering,A5083766821,ZERO_AERO_OR_FLUIDS_MATCH,Mechanical Circulatory Support Devices | Congenital Heart Disease Studies | Cardiovascular Function and Risk Factors,In Vitro Validation of Finite Element Analysis of Blood Flow in Deformable Models
Zhen Li,Clemson University,Department of Mechanical Engineering,A5100332581,ZERO_AERO_OR_FLUIDS_MATCH,Luminescence and Fluorescent Materials | Organic Light-Emitting Diodes Research | Molecular Sensors and Ion Detection,The influence of the molecular packing on the room temperature phosphorescence of purely organic luminogens
Azer Yalin,Colorado State University,Department of Mechanical Engineering,A5002311146,ZERO_AERO_OR_FLUIDS_MATCH,Laser-induced spectroscopy and plasma | Plasma Diagnostics and Applications | Spectroscopy and Laser Applications,Laser-Induced Breakdown Spectroscopy for In-Cylinder Equivalence Ratio Measurements in Laser-Ignited Natural Gas Engines
Laura Ray,Dartmouth College,Thayer School of Engineering,A5000034078,ZERO_AERO_OR_FLUIDS_MATCH,Structural Health Monitoring Techniques | Vehicle Dynamics and Control Systems | Speech and Audio Processing,"Nonlinear Tire Force Estimation and Road Friction Identification: Simulation and Experiments ,"
Mary Albert,Dartmouth College,Thayer School of Engineering,A5019935739,ZERO_AERO_OR_FLUIDS_MATCH,Cryospheric studies and observations | Winter Sports Injuries and Performance | Landslides and related hazards,The extreme melt across the Greenland ice sheet in 2012
Yan Li,Dartmouth College,Thayer School of Engineering,A5100380336,ZERO_AERO_OR_FLUIDS_MATCH,Carbon Nanotubes in Composites | Graphene research and applications | Supercapacitor Materials and Fabrication,Computation of Octanol−Water Partition Coefficients by Guiding an Additive Model with Knowledge
Sorin Siegler,Drexel University,Department of Mechanical Engineering and Mechanics,A5056477793,ZERO_AERO_OR_FLUIDS_MATCH,Foot and Ankle Surgery | Lower Extremity Biomechanics and Pathologies | Orthopedic Surgery and Rehabilitation,"ISB recommendation on definitions of joint coordinate system of various joints for the reporting of human joint motion—part I: ankle, hip, and spine"
Lawrie Virgin,Duke University,Thomas Lord Department of Mechanical Engineering and Materials Science,A5112324221,ZERO_AERO_OR_FLUIDS_MATCH,Optical measurement and interference techniques | Structural Health Monitoring Techniques | Vibration and Dynamic Analysis,On the Free Vibration of 3D-Printed Structural Elements
Michael Zavlanos,Duke University,Thomas Lord Department of Mechanical Engineering and Materials Science,A5080808780,ZERO_AERO_OR_FLUIDS_MATCH,Distributed Control Multi-Agent Systems | Reinforcement Learning in Robotics | Formal Methods in Verification,Graph-theoretic connectivity control of mobile robot networks
Wilkins Aquino,Duke University,Thomas Lord Department of Mechanical Engineering and Materials Science,A5067331647,ZERO_AERO_OR_FLUIDS_MATCH,Structural Health Monitoring Techniques | Ultrasonics and Acoustic Wave Propagation | Ultrasound Imaging and Elastography,The influence of metakaolin and silica fume on the chemistry of alkali–silica reaction products
Anouck Girard,Embry-Riddle Aeronautical University,Department of Aerospace Engineering,A5074685221,ZERO_AERO_OR_FLUIDS_MATCH,Robotic Path Planning Algorithms | Traffic control and management | Autonomous Vehicle Technology and Safety,Game Theoretic Modeling of Driver and Vehicle Interactions for Verification and Validation of Autonomous Vehicle Control Systems
Hever Moncayo,Embry-Riddle Aeronautical University,Department of Aerospace Engineering,A5092115716,ZERO_AERO_OR_FLUIDS_MATCH,Indoor and Outdoor Localization Technologies | Target Tracking and Data Fusion in Sensor Networks | Inertial Sensor and Navigation,Q-Learning Model Covariance Adaptation of Rao-Blackwellized Particle Filtering in Airborne Geomagnetic Navigation
Troy Henderson,Embry-Riddle Aeronautical University,Department of Aerospace Engineering,A5136746287,ZERO_AERO_OR_FLUIDS_MATCH,Radiation Dose and Imaging | Inertial Sensor and Navigation | Adaptive optics and wavefront sensing,Tiled Plate Solving and Distortion Correction for Robust Star Tracking in WFOV Imagery
Daniel Kirk,Florida Institute of Technology,"Department of Aerospace, Physics and Space Sciences",A5108383999,ZERO_AERO_OR_FLUIDS_MATCH,"Terrorism, Counterterrorism, and Political Violence | Traumatic Brain Injury Research | Traumatic Brain Injury and Neurovascular Disturbances",Morphologic and Biochemical Characterization of Brain Injury in a Model of Controlled Blast Overpressure Exposure
Manasvi Lingam,Florida Institute of Technology,"Department of Aerospace, Physics and Space Sciences",A5011292867,ZERO_AERO_OR_FLUIDS_MATCH,"Astro and Planetary Science | Space Science and Extraterrestrial Life | Stellar, planetary, and galactic studies",Atmospheric escape from the TRAPPIST-1 planets and implications for habitability
Daigo Shishika,George Mason University,Department of Mechanical Engineering,A5057044271,ZERO_AERO_OR_FLUIDS_MATCH,Guidance and Control Systems | Distributed Control Multi-Agent Systems | Military Defense Systems Analysis,Cooperative Team Strategies for Multi-Player Perimeter-Defense Games
Pouya Rezai,George Mason University,Department of Mechanical Engineering,A5012797210,ZERO_AERO_OR_FLUIDS_MATCH,"Microfluidic and Capillary Electrophoresis Applications | Genetics, Aging, and Longevity in Model Organisms | Microfluidic and Bio-sensing Technologies","Recent advances in biosensors for real time monitoring of pH, temperature, and oxygen in chronic wounds"
Taeyoung Lee,George Washington University,Mechanical & Aerospace Engineering,A5020132536,ZERO_AERO_OR_FLUIDS_MATCH,Adaptive Control of Nonlinear Systems | Inertial Sensor and Navigation | Numerical methods for differential equations,Geometric tracking control of a quadrotor UAV on SE(3)
L. Mahadevan,Harvard University,"John A. Paulson School of Engineering and Applied Sciences (SEAS) / Applied Mathematics, Physics & OEB",A5063432831,ZERO_AERO_OR_FLUIDS_MATCH,Advanced Materials and Mechanics | Cellular Mechanics and Interactions | Micro and Nano Robotics,Biomimetic 4D printing
Robin Wordsworth,Harvard University,John A. Paulson School of Engineering and Applied Sciences (SEAS) / Environmental Science and Engineering,A5008740857,ZERO_AERO_OR_FLUIDS_MATCH,"Astro and Planetary Science | Planetary Science and Exploration | Stellar, planetary, and galactic studies",Growth model interpretation of planet size distribution
Matthew Spenko,Illinois Institute of Technology,"Department of Mechanical, Materials, and Aerospace Engineering",A5135300073,ZERO_AERO_OR_FLUIDS_MATCH,"Conservation, Biodiversity, and Resource Management | Forest Management and Policy | Agroforestry and silvopastoral systems",Editorial: Special Issue on the XPRIZE Rainforest Competition
Kaliat (K.T.) Ramesh,Johns Hopkins University,Department of Mechanical Engineering,A5033981216,ZERO_AERO_OR_FLUIDS_MATCH,High-Velocity Impact and Material Behavior | Microstructure and mechanical properties | Aluminum Alloys Composites Properties,Effect of nanocrystalline and ultrafine grain sizes on the strain rate sensitivity and activation volume: fcc versus bcc metals
Warren N. White,Kansas State University,Alan Levin Department of Mechanical and Nuclear Engineering,A5110272170,ZERO_AERO_OR_FLUIDS_MATCH,Dynamics and Control of Mechanical Systems | Wind Turbine Control Systems | Control and Stability of Dynamical Systems,Torsional Vibrations Mitigation in the Drivetrain of DFIG-Based Grid-Connected Wind Turbine
Qiqi Wang,Massachusetts Institute of Technology,Department of Aeronautics and Astronautics,A5101519071,ZERO_AERO_OR_FLUIDS_MATCH,Soil Carbon and Nitrogen Dynamics | Molecular Sensors and Ion Detection | Supramolecular Chemistry and Complexes,Analysis of therapeutic targets for SARS-CoV-2 and discovery of potential drugs by computational methods
Youssef M. Marzouk,Massachusetts Institute of Technology,Department of Aeronautics and Astronautics / CCSE,A5071702167,ZERO_AERO_OR_FLUIDS_MATCH,Gaussian Processes and Bayesian Inference | Markov Chains and Monte Carlo Methods | Probabilistic and Robust Engineering Design,Stochastic spectral methods for efficient Bayesian solution of inverse problems
