[2026-09-19 19:24:07] [INFO] ================================================================================
[2026-09-19 19:24:07] [INFO] STARTING OPENALEX FACULTY RESEARCH JSON EXTRACTION PIPELINE
[2026-09-19 19:24:07] [INFO] Target Sheet: Master - All Live Verified
[2026-09-19 19:24:07] [INFO] Destination:  d:\Others\findprofs\openalex_mechaero_faculty_json\universities_wise
[2026-09-19 19:24:07] [INFO] Date Filter:  2023-01-01 to 2026-06-30 (Mid-2026)
[2026-09-19 19:24:07] [INFO] ================================================================================
[2026-09-19 19:24:08] [INFO] Total verified faculty members with valid OpenAlex ID: 787
[2026-09-19 19:24:08] [INFO] Running multi-threaded harvesting pool with 5 workers...
[2026-09-19 19:24:13] [INFO] [  1/787] (  0.1%) [SAVED] Kyle Squires              | Arizona State University  | Works: 208, Cites: 13732, h-index: 42 | Speed: 0.2 profs/s | ETA: 67.6m
[2026-09-19 19:24:13] [INFO] [  2/787] (  0.3%) [SAVED] Kiran Ramesh              | Arizona State University  | Works:  63, Cites:  1096, h-index: 14 | Speed: 0.4 profs/s | ETA: 36.1m
[2026-09-19 19:24:13] [INFO] [  3/787] (  0.4%) [SAVED] Houlong Zhuang            | Arizona State University  | Works: 160, Cites: 14251, h-index: 51 | Speed: 0.5 profs/s | ETA: 25.1m
[2026-09-19 19:24:14] [INFO] [  4/787] (  0.5%) [SAVED] Marcus Herrmann           | Arizona State University  | Works: 168, Cites:  2695, h-index: 24 | Speed: 0.7 profs/s | ETA: 19.9m
[2026-09-19 19:24:15] [INFO] [  5/787] (  0.6%) [SAVED] Brian Thurow              | Auburn University         | Works: 210, Cites:  2478, h-index: 25 | Speed: 0.7 profs/s | ETA: 18.7m
[2026-09-19 19:24:17] [INFO] [  6/787] (  0.8%) [SAVED] Joe Majdalani             | Auburn University         | Works:  14, Cites:    99, h-index:  6 | Speed: 0.7 profs/s | ETA: 19.3m
[2026-09-19 19:24:18] [INFO] [  7/787] (  0.9%) [SAVED] Roy Hartfield             | Auburn University         | Works: 188, Cites:  1786, h-index: 21 | Speed: 0.7 profs/s | ETA: 18.5m
[2026-09-19 19:24:18] [INFO] [  8/787] (  1.0%) [SAVED] Nek Sharan                | Auburn University         | Works:  34, Cites:   119, h-index:  5 | Speed: 0.8 profs/s | ETA: 16.6m
[2026-09-19 19:24:18] [INFO] [  9/787] (  1.1%) [SAVED] David E Scarborough       | Auburn University         | Works: 101, Cites:  1047, h-index: 15 | Speed: 0.9 profs/s | ETA: 15.0m
[2026-09-19 19:24:20] [INFO] [ 10/787] (  1.3%) [SAVED] Imon Chakraborty          | Auburn University         | Works: 134, Cites:  1121, h-index: 17 | Speed: 0.8 profs/s | ETA: 15.4m
[2026-09-19 19:24:21] [INFO] [ 11/787] (  1.4%) [SAVED] Davide Guzzetti           | Auburn University         | Works:  54, Cites:   577, h-index: 13 | Speed: 0.8 profs/s | ETA: 15.6m
