Row,Faculty Name,University,Status,OpenAlex ID
1588,Joseph Jiong Wang,University of Southern California,FOUND_EXACT_NAME_NO_AFFIL_MATCH,A5069491860
1590,Juhi Jang,University of Southern California,FOUND_EXACT_NAME_NO_AFFIL_MATCH,A5020031889
1594,Phillip Kreth,University of Tennessee Space Institute / UTK,CANDIDATES_FOUND_NO_AFFIL_MATCH,
1595,Mark Gragston,University of Tennessee Space Institute / UTK,FOUND_EXACT_NAME_NO_AFFIL_MATCH,A5006834173
1596,Esteban Cisneros-Garibay,University of Tennessee Space Institute / UTK,CANDIDATES_FOUND_NO_AFFIL_MATCH,
1597,Trevor Moeller,University of Tennessee Space Institute / UTK,FOUND_EXACT_NAME_NO_AFFIL_MATCH,A5058563233
1598,Reza Abedi,University of Tennessee Space Institute / UTK,CANDIDATES_FOUND_NO_AFFIL_MATCH,
1599,Kivanc Ekici,University of Tennessee-Knoxville,FOUND_EXACT_NAME_NO_AFFIL_MATCH,A5049854190
1600,Damiano Baccarella,University of Tennessee-Knoxville,FOUND_EXACT_NAME_NO_AFFIL_MATCH,A5061111238
1601,Omer San,University of Tennessee-Knoxville,FOUND_EXACT_NAME_NO_AFFIL_MATCH,A5085671233
1602,Devina Sanjaya,University of Tennessee-Knoxville,CANDIDATES_FOUND_NO_AFFIL_MATCH,
1603,Andrew K. Dickerson,University of Tennessee-Knoxville,FOUND_EXACT_NAME_NO_AFFIL_MATCH,A5038488927
1604,Zhili Zhang,University of Tennessee-Knoxville,CANDIDATES_FOUND_NO_AFFIL_MATCH,
1605,John Schmisseur,University of Tennessee-Knoxville / UT Space Institute,CANDIDATES_FOUND_NO_AFFIL_MATCH,
1606,Peng Zhao,University of Tennessee-Knoxville / UT Space Institute,FOUND_EXACT_NAME_NO_AFFIL_MATCH,A5057131883
1621,William Anderson,University of Texas at Dallas,CANDIDATES_FOUND_NO_AFFIL_MATCH,
1626,Yaoyu Li,University of Texas at Dallas,FOUND_EXACT_NAME_NO_AFFIL_MATCH,A5019848729
1649,Yusheng Feng,University of Texas at San Antonio,FOUND_EXACT_NAME_NO_AFFIL_MATCH,A5109416409
1667,Ekaterina Shemyakova,University of Toledo,FOUND_EXACT_NAME_NO_AFFIL_MATCH,A5090645342
1670,Xiaowei He,University of Utah,FOUND_EXACT_NAME_NO_AFFIL_MATCH,A5060690411
